,seed_title,seed_url,seed_creator,seed_viewcount,seed_upload_date,rec_title,rec_url,rec_creator,rec_viewcount,rec_upload_date
64,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20,Judge in Chauvin case slams Maxine Waters' comments; 'The Five' reacts,https://www.youtube.com/watch?v=MTe0kX5zISA,Fox News,"1,679,604",19-Apr-21
65,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com/watch?v=iE6MtHxFGsQ,Forbes Breaking News,"691,551",13-Apr-21
66,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21,Watch CNBC's full interview with Berkshire Hathaway CEO Warren Buffett,https://www.youtube.com/watch?v=JvEas_zZ4fM,CNBC Television,"10,477,717",24-Feb-20
67,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21,THE BIGGEST AND MOST EXPENSIVE HOUSE IN THE WORLD - 'THE ONE' - EXCLUSIVE HOUSE TOUR (PART 1),https://www.youtube.com/watch?v=_H2xmRseiDw,ProducerMichael,"4,802,591",6-Apr-21
68,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21,Judge will declare 'mistrial' if prosecution witness 'even mentions' new evidence in Chauvin trial,https://www.youtube.com/watch?v=UslJtluzpBM,The Hill,"758,384",15-Apr-21
69,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21,Ted Cruz fires back at Dick Durbin for calling him a liar,https://www.youtube.com/watch?v=T8mCT1iYuu0,Forbes Breaking News,"1,023,305",18-Mar-21
70,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com/watch?v=iE6MtHxFGsQ,Forbes Breaking News,"691,551",13-Apr-21,Judge in Chauvin case slams Maxine Waters' comments; 'The Five' reacts,https://www.youtube.com/watch?v=MTe0kX5zISA,Fox News,"1,679,604",19-Apr-21
71,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com/watch?v=iE6MtHxFGsQ,Forbes Breaking News,"691,551",13-Apr-21,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,"351,746",16-Apr-21
72,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com/watch?v=iE6MtHxFGsQ,Forbes Breaking News,"691,551",13-Apr-21,Trump slams Biden's border failures in 'Hannity' exclusive,https://www.youtube.com/watch?v=jMzZ8e8kzKQ,Fox News,"1,808,305",19-Apr-21
73,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com/watch?v=iE6MtHxFGsQ,Forbes Breaking News,"691,551",13-Apr-21,Gutfeld: Biden team openly admits it's better when he doesn't talk,https://www.youtube.com/watch?v=lgdgXN_3Q78,Fox News,"604,394",15-Apr-21
74,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com/watch?v=iE6MtHxFGsQ,Forbes Breaking News,"691,551",13-Apr-21,Jim Jordan Clashes With Dr. Fauci In Fiery House Hearing: “You’re Making This A Personal Thing”,https://www.youtube.com/watch?v=rh7_bKweDVk,Forbes Breaking News,"720,629",15-Apr-21
75,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,"351,746",16-Apr-21,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com/watch?v=kc0tRPtsdcU,CNBC Television,"743,770",15-Apr-21
76,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,"351,746",16-Apr-21,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com/watch?v=kc0tRPtsdcU,CNBC Television,"743,770",15-Apr-21
77,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,"351,746",16-Apr-21,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com/watch?v=kc0tRPtsdcU,CNBC Television,"743,770",15-Apr-21
78,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,"351,746",16-Apr-21,Virtual Community Book Club with Former President Barack Obama,https://www.youtube.com/watch?v=dEQcJn_kHAs,Los Angeles Times,"26,039",Streamed live 22 hours ago
79,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,"351,746",16-Apr-21,Judge will declare 'mistrial' if prosecution witness 'even mentions' new evidence in Chauvin trial,https://www.youtube.com/watch?v=UslJtluzpBM,The Hill,"758,384",15-Apr-21
80,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com/watch?v=kc0tRPtsdcU,CNBC Television,"743,770",15-Apr-21,Panic: The Untold Story of the 2008 Financial Crisis | Full VICE Special Report | HBO,https://www.youtube.com/watch?v=QozGSS7QY_U,Council on Foreign Relations,"7,115,339",1-May-19
81,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com/watch?v=kc0tRPtsdcU,CNBC Television,"743,770",15-Apr-21,20 | The History Behind Kerry Wood's 20 Strikeout Game,https://www.youtube.com/watch?v=IWbQyRAvZRc,Chicago Cubs,"3,039,933",19-Sep-18
82,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com/watch?v=kc0tRPtsdcU,CNBC Television,"743,770",15-Apr-21,What’s Driving California’s Mass Exodus?,https://www.youtube.com/watch?v=Ez90rXhMWjE,CNBC,"7,667,616",23-Jan-21
